
number of trainable parameters: 3.27M
Epoch [1/1], eval_loss: 10.8248
Epoch [1/1], Step [29300/473591], Loss: 5.1298
Epoch [1/1], Step [29400/473591], Loss: 5.1266
Epoch [1/1], Step [29500/473591], Loss: 5.1233
Epoch [1/1], Step [29600/473591], Loss: 5.1200
Epoch [1/1], Step [29700/473591], Loss: 5.1169
Epoch [1/1], Step [29800/473591], Loss: 5.1139
Epoch [1/1], Step [29900/473591], Loss: 5.1105
Epoch [1/1], Step [30000/473591], Loss: 5.1073
Epoch [1/1], eval_loss: 4.1706
Epoch [1/1], Step [30100/473591], Loss: 5.1042
Epoch [1/1], Step [30200/473591], Loss: 5.1012
Epoch [1/1], Step [30300/473591], Loss: 5.0979
Epoch [1/1], Step [30400/473591], Loss: 5.0950
Epoch [1/1], Step [30500/473591], Loss: 5.0919
Epoch [1/1], Step [30600/473591], Loss: 5.0887
Epoch [1/1], Step [30700/473591], Loss: 5.0858
Epoch [1/1], Step [30800/473591], Loss: 5.0825
Epoch [1/1], Step [30900/473591], Loss: 5.0794
Epoch [1/1], Step [31000/473591], Loss: 5.0768
Epoch [1/1], Step [31100/473591], Loss: 5.0736
Epoch [1/1], Step [31200/473591], Loss: 5.0708
Epoch [1/1], Step [31300/473591], Loss: 5.0677
Epoch [1/1], Step [31400/473591], Loss: 5.0648
Epoch [1/1], Step [31500/473591], Loss: 5.0618
Epoch [1/1], Step [31600/473591], Loss: 5.0588
Epoch [1/1], Step [31700/473591], Loss: 5.0554
Epoch [1/1], Step [31800/473591], Loss: 5.0524
Epoch [1/1], Step [31900/473591], Loss: 5.0497
Epoch [1/1], Step [32000/473591], Loss: 5.0466
Epoch [1/1], Step [32100/473591], Loss: 5.0439
Epoch [1/1], Step [32200/473591], Loss: 5.0411
Epoch [1/1], Step [32300/473591], Loss: 5.0383
Epoch [1/1], Step [32400/473591], Loss: 5.0355
Epoch [1/1], Step [32500/473591], Loss: 5.0328
Epoch [1/1], Step [32600/473591], Loss: 5.0301
Epoch [1/1], Step [32700/473591], Loss: 5.0275
Epoch [1/1], Step [32800/473591], Loss: 5.0251
Epoch [1/1], Step [32900/473591], Loss: 5.0225
Epoch [1/1], Step [33000/473591], Loss: 5.0198
Epoch [1/1], Step [33100/473591], Loss: 5.0169
Epoch [1/1], Step [33200/473591], Loss: 5.0143
Epoch [1/1], Step [33300/473591], Loss: 5.0118
Epoch [1/1], Step [33400/473591], Loss: 5.0091
Epoch [1/1], Step [33500/473591], Loss: 5.0065
Epoch [1/1], Step [33600/473591], Loss: 5.0038
Epoch [1/1], Step [33700/473591], Loss: 5.0012
Epoch [1/1], Step [33800/473591], Loss: 4.9987
Epoch [1/1], Step [33900/473591], Loss: 4.9961
Epoch [1/1], Step [34000/473591], Loss: 4.9936
Epoch [1/1], Step [34100/473591], Loss: 4.9909
Epoch [1/1], Step [34200/473591], Loss: 4.9883
Epoch [1/1], Step [34300/473591], Loss: 4.9860
Epoch [1/1], Step [34400/473591], Loss: 4.9836
Epoch [1/1], Step [34500/473591], Loss: 4.9812
Epoch [1/1], Step [34600/473591], Loss: 4.9784
Epoch [1/1], Step [34700/473591], Loss: 4.9756
Epoch [1/1], Step [34800/473591], Loss: 4.9732
Epoch [1/1], Step [34900/473591], Loss: 4.9705
Epoch [1/1], Step [35000/473591], Loss: 4.9680
Epoch [1/1], Step [35100/473591], Loss: 4.9655
Epoch [1/1], Step [35200/473591], Loss: 4.9633
Epoch [1/1], Step [35300/473591], Loss: 4.9610
Epoch [1/1], Step [35400/473591], Loss: 4.9586
Epoch [1/1], Step [35500/473591], Loss: 4.9563
Epoch [1/1], Step [35600/473591], Loss: 4.9540
Epoch [1/1], Step [35700/473591], Loss: 4.9514
Epoch [1/1], Step [35800/473591], Loss: 4.9490
Epoch [1/1], Step [35900/473591], Loss: 4.9466
Epoch [1/1], Step [36000/473591], Loss: 4.9440
Epoch [1/1], Step [36100/473591], Loss: 4.9415
Epoch [1/1], Step [36200/473591], Loss: 4.9392
Epoch [1/1], Step [36300/473591], Loss: 4.9369
Epoch [1/1], Step [36400/473591], Loss: 4.9345
Epoch [1/1], Step [36500/473591], Loss: 4.9321
Epoch [1/1], Step [36600/473591], Loss: 4.9297
Epoch [1/1], Step [36700/473591], Loss: 4.9275
Epoch [1/1], Step [36800/473591], Loss: 4.9251
Epoch [1/1], Step [36900/473591], Loss: 4.9227
Epoch [1/1], Step [37000/473591], Loss: 4.9204
Epoch [1/1], Step [37100/473591], Loss: 4.9183
Epoch [1/1], Step [37200/473591], Loss: 4.9159
Epoch [1/1], Step [37300/473591], Loss: 4.9136
Epoch [1/1], Step [37400/473591], Loss: 4.9113
Epoch [1/1], Step [37500/473591], Loss: 4.9090
Epoch [1/1], Step [37600/473591], Loss: 4.9068
Epoch [1/1], Step [37700/473591], Loss: 4.9047
Epoch [1/1], Step [37800/473591], Loss: 4.9027
Epoch [1/1], Step [37900/473591], Loss: 4.9005
Epoch [1/1], Step [38000/473591], Loss: 4.8983
Epoch [1/1], Step [38100/473591], Loss: 4.8960
Epoch [1/1], Step [38200/473591], Loss: 4.8938
Epoch [1/1], Step [38300/473591], Loss: 4.8917
Epoch [1/1], Step [38400/473591], Loss: 4.8895
Epoch [1/1], Step [38500/473591], Loss: 4.8875
Epoch [1/1], Step [38600/473591], Loss: 4.8853
Epoch [1/1], Step [38700/473591], Loss: 4.8832
Epoch [1/1], Step [38800/473591], Loss: 4.8809
Epoch [1/1], Step [38900/473591], Loss: 4.8788
Epoch [1/1], Step [39000/473591], Loss: 4.8766
Epoch [1/1], Step [39100/473591], Loss: 4.8743
Epoch [1/1], Step [39200/473591], Loss: 4.8721
Epoch [1/1], Step [39300/473591], Loss: 4.8702
Epoch [1/1], Step [39400/473591], Loss: 4.8681
Epoch [1/1], Step [39500/473591], Loss: 4.8660
Epoch [1/1], Step [39600/473591], Loss: 4.8641
Epoch [1/1], Step [39700/473591], Loss: 4.8620
Epoch [1/1], Step [39800/473591], Loss: 4.8600
Epoch [1/1], Step [39900/473591], Loss: 4.8578
Epoch [1/1], Step [40000/473591], Loss: 4.8557
Epoch [1/1], eval_loss: 4.0524
Epoch [1/1], Step [40100/473591], Loss: 4.8536
Epoch [1/1], Step [40200/473591], Loss: 4.8517
Epoch [1/1], Step [40300/473591], Loss: 4.8496
Epoch [1/1], Step [40400/473591], Loss: 4.8474
Epoch [1/1], Step [40500/473591], Loss: 4.8457
Epoch [1/1], Step [40600/473591], Loss: 4.8439
Epoch [1/1], Step [40700/473591], Loss: 4.8420
Epoch [1/1], Step [40800/473591], Loss: 4.8400
Epoch [1/1], Step [40900/473591], Loss: 4.8381
Epoch [1/1], Step [41000/473591], Loss: 4.8361
Epoch [1/1], Step [41100/473591], Loss: 4.8341
Epoch [1/1], Step [41200/473591], Loss: 4.8322
Epoch [1/1], Step [41300/473591], Loss: 4.8304
Epoch [1/1], Step [41400/473591], Loss: 4.8282
Epoch [1/1], Step [41500/473591], Loss: 4.8264
Epoch [1/1], Step [41600/473591], Loss: 4.8246
Epoch [1/1], Step [41700/473591], Loss: 4.8227
Epoch [1/1], Step [41800/473591], Loss: 4.8207
Epoch [1/1], Step [41900/473591], Loss: 4.8191
Epoch [1/1], Step [42000/473591], Loss: 4.8171
Epoch [1/1], Step [42100/473591], Loss: 4.8152
Epoch [1/1], Step [42200/473591], Loss: 4.8132
Epoch [1/1], Step [42300/473591], Loss: 4.8112
Epoch [1/1], Step [42400/473591], Loss: 4.8094
Epoch [1/1], Step [42500/473591], Loss: 4.8075
Epoch [1/1], Step [42600/473591], Loss: 4.8056
Epoch [1/1], Step [42700/473591], Loss: 4.8035
Epoch [1/1], Step [42800/473591], Loss: 4.8016
Epoch [1/1], Step [42900/473591], Loss: 4.7998
Epoch [1/1], Step [43000/473591], Loss: 4.7978
Epoch [1/1], Step [43100/473591], Loss: 4.7959
Epoch [1/1], Step [43200/473591], Loss: 4.7941
Epoch [1/1], Step [43300/473591], Loss: 4.7923
Epoch [1/1], Step [43400/473591], Loss: 4.7904
Epoch [1/1], Step [43500/473591], Loss: 4.7887
Epoch [1/1], Step [43600/473591], Loss: 4.7869
Epoch [1/1], Step [43700/473591], Loss: 4.7851
Epoch [1/1], Step [43800/473591], Loss: 4.7833
Epoch [1/1], Step [43900/473591], Loss: 4.7816
Epoch [1/1], Step [44000/473591], Loss: 4.7800
Epoch [1/1], Step [44100/473591], Loss: 4.7781
Epoch [1/1], Step [44200/473591], Loss: 4.7764
Epoch [1/1], Step [44300/473591], Loss: 4.7744
Epoch [1/1], Step [44400/473591], Loss: 4.7724
Epoch [1/1], Step [44500/473591], Loss: 4.7705
Epoch [1/1], Step [44600/473591], Loss: 4.7687
Epoch [1/1], Step [44700/473591], Loss: 4.7670
Epoch [1/1], Step [44800/473591], Loss: 4.7653
Epoch [1/1], Step [44900/473591], Loss: 4.7636
Epoch [1/1], Step [45000/473591], Loss: 4.7620
Epoch [1/1], Step [45100/473591], Loss: 4.7603
Epoch [1/1], Step [45200/473591], Loss: 4.7585
Epoch [1/1], Step [45300/473591], Loss: 4.7568
Epoch [1/1], Step [45400/473591], Loss: 4.7552
Epoch [1/1], Step [45500/473591], Loss: 4.7534
Epoch [1/1], Step [45600/473591], Loss: 4.7515
Epoch [1/1], Step [45700/473591], Loss: 4.7500
Epoch [1/1], Step [45800/473591], Loss: 4.7482
Epoch [1/1], Step [45900/473591], Loss: 4.7466
Epoch [1/1], Step [46000/473591], Loss: 4.7451
Epoch [1/1], Step [46100/473591], Loss: 4.7436
Epoch [1/1], Step [46200/473591], Loss: 4.7422
Epoch [1/1], Step [46300/473591], Loss: 4.7405
Epoch [1/1], Step [46400/473591], Loss: 4.7389
Epoch [1/1], Step [46500/473591], Loss: 4.7375
Epoch [1/1], Step [46600/473591], Loss: 4.7359
Epoch [1/1], Step [46700/473591], Loss: 4.7343
Epoch [1/1], Step [46800/473591], Loss: 4.7328
Epoch [1/1], Step [46900/473591], Loss: 4.7313
Epoch [1/1], Step [47000/473591], Loss: 4.7296
Epoch [1/1], Step [47100/473591], Loss: 4.7279
Epoch [1/1], Step [47200/473591], Loss: 4.7266
Epoch [1/1], Step [47300/473591], Loss: 4.7250
Epoch [1/1], Step [47400/473591], Loss: 4.7234
Epoch [1/1], Step [47500/473591], Loss: 4.7217
Epoch [1/1], Step [47600/473591], Loss: 4.7202
Epoch [1/1], Step [47700/473591], Loss: 4.7186
Epoch [1/1], Step [47800/473591], Loss: 4.7172
Epoch [1/1], Step [47900/473591], Loss: 4.7157
Epoch [1/1], Step [48000/473591], Loss: 4.7143
Epoch [1/1], Step [48100/473591], Loss: 4.7128
Epoch [1/1], Step [48200/473591], Loss: 4.7113
Epoch [1/1], Step [48300/473591], Loss: 4.7097
Epoch [1/1], Step [48400/473591], Loss: 4.7082
Epoch [1/1], Step [48500/473591], Loss: 4.7068
Epoch [1/1], Step [48600/473591], Loss: 4.7052
Epoch [1/1], Step [48700/473591], Loss: 4.7038
Epoch [1/1], Step [48800/473591], Loss: 4.7023
Epoch [1/1], Step [48900/473591], Loss: 4.7007
Epoch [1/1], Step [49000/473591], Loss: 4.6993
